gsr_max,gsr_min,min_ra,max_ra,gsr_mean,gsr_sd,gsr_var,ecg_avg,ecg_median,ecg_sd,fear,angry,happy,sad,class
16,11.21,0.700625,1.427297056,12.41977143,0.965187108,0.931586154,0.920940799,0.8645515,0.294434272,5,1,1,5,1
16.2,13.56,0.837037037,1.194690265,14.44635135,0.518621921,0.268968697,0.928403851,0.868311,0.257357232,1,5,1,5,2
12.58,0,0,0,9.818962264,3.368447976,11.34644177,0.869702122,0.753722,0.332850923,1,5,1,5,3
2.02,1.34,0.663366337,1.507462687,1.69244898,0.179415305,0.032189852,1.040199084,0.905545,0.396499078,5,1,1,4,0
2.51,2.02,0.804780876,1.242574257,2.238311688,0.101818788,0.010367066,1.043677695,0.880652,0.475419911,1,1,4,1,1
2.9,2.51,0.865517241,1.155378486,2.613777778,0.113738677,0.012936487,1.282365163,0.991322,0.804353215,5,1,1,3,2
3.2,2.71,0.846875,1.180811808,2.955084746,0.101834431,0.010370251,1.331536549,0.934149,0.873166036,1,1,1,5,2
3.2,2.81,0.878125,1.138790036,2.873137255,0.081494838,0.006641409,1.389988974,0.9564745,0.795668545,1,5,1,1,3
2.12,1.63,0.768867925,1.300613497,1.820544218,0.090650483,0.00821751,1.230000427,0.9278485,0.683420924,1,1,1,5,0
3.39,2.02,0.595870206,1.678217822,2.6198,0.275270225,0.075773697,1.102818557,0.933991,0.622236592,1,1,5,1,3
3.88,2.61,0.672680412,1.486590038,3.026514286,0.30354963,0.092142378,1.065262022,0.8089165,0.692223006,1,1,5,1,1
4.76,2.81,0.590336134,1.693950178,3.797474747,0.509824587,0.259921109,0.89486594,0.823436,0.335510117,3,1,3,3,2
4.37,3.2,0.732265446,1.365625,3.665279503,0.280093873,0.078452578,0.817660447,0.782411,0.337564408,1,1,2,3,3
8.48,0,0,0,6.423265306,1.402369991,1.966641591,0.879192525,0.794739,0.418566184,1,1,4,2,0
7.99,7.2,0.901126408,1.109722222,7.644711538,0.186786607,0.034889236,0.795601421,0.766236,0.453026229,4,2,1,5,0
9.26,7.79,0.8412527,1.188703466,8.399044586,0.333838944,0.11144844,0.853022435,0.788703,0.412670394,3,3,1,4,1
13.17,8.96,0.680334093,1.469866071,11.91469136,1.086673924,1.180860216,0.88995821,0.794849,0.399808461,3,4,1,4,2
12.39,8.96,0.723163842,1.3828125,9.783888889,0.635060907,0.403302356,0.839028083,0.7784945,0.452973162,4,2,1,3,3
3.78,2.9,0.767195767,1.303448276,3.200620155,0.186320255,0.034715237,0.918660641,0.823366,0.439334193,1,3,1,4,0
4.76,2.71,0.569327731,1.756457565,4.119873418,0.476215028,0.226780753,0.917425659,0.774181,0.488283677,1,3,1,3,1
4.96,3.78,0.762096774,1.312169312,4.24394958,0.270511814,0.073176642,0.895726807,0.7948105,0.447134611,4,1,3,4,1
5.74,4.17,0.726480836,1.376498801,5.063695652,0.365831035,0.133832346,0.882388883,0.778582,0.494177436,1,1,4,4,2
5.64,4.66,0.826241135,1.210300429,5.081494253,0.266251013,0.070889602,0.883673416,0.794753,0.477088061,3,1,1,4,3
21.77,13.26,0.609095085,1.641779789,18.07059701,1.542062266,2.377956032,0.830490369,0.8076335,0.348139253,3,1,1,5,0
25,18.45,0.738,1.35501355,21.12858696,1.751077898,3.066273806,0.922318693,0.766103,0.486819363,3,3,1,4,1
24.31,19.42,0.798848211,1.251802266,22.03857143,1.081574199,1.169802747,0.861940287,0.8071135,0.372624077,3,1,1,5,1
27.34,21.28,0.778346745,1.284774436,24.71526316,1.051655804,1.10597993,0.83017489,0.79472,0.366814595,1,1,3,1,1
30.27,23.33,0.770730096,1.297471067,28.16898734,1.548627676,2.398247679,0.718671689,0.782577,0.390491288,1,1,5,1,3
3.39,2.51,0.740412979,1.35059761,2.800666667,0.180853347,0.032707933,0.762601936,0.810898,0.364648041,3,4,1,4,0
